di;dije;estuve;hube;hice;fui;pude;puse;quise;supe;salí;fui;tuve;vine;vi
diste;dijiste;estuviste;hubiste;hiciste;fuiste;pudiste;pusiste;quisiste;supiste;saliste;fuiste;tuviste;viniste;viste
dio;dijo;estuvo;hubo;hizo;fue;pudo;puso;quiso;supo;salió;fue;tuvo;vino;vio
dimos;dijimos;estuvimos;hubimos;hicimos;fuimos;pudimos;pusimos;quisimos;supimos;salimos;fuimos;tuvimos;vinimos;vimos
disteis;dijisteis;estuvisteis;hubisteis;hicisteis;fuisteis;pudisteis;pusisteis;quisisteis;supisteis;salisteis;fuisteis;tuvisteis;vinisteis;visteis
dieron;dijeron;estuvieron;hubieron;hicieron;fueron;pudieron;pusieron;quisieron;supieron;salieron;fueron;tuvieron;vinieron;vieron
