abandonar
abatir
abonar
abordar
abortar
abrochar
absorber
aburrir
abusar
acabar
acampar
acariciar
acceder
acelerar
aceptar
aclarar
acomodar
acompañar
aconsejar
acoplar
acortar
acosar
acostumbrar
acreditar
activar
acudir
acusar
adaptar
adelantar
adivinar
adjuntar
administrar
admirar
admitir
adoptar
adorar
adornar
afectar
afeitar
afinar
afirmar
aflojar
afrontar
agarrar
agitar
agotar
agradar
aguantar
aguardar
ahorrar
ajustar
alarmar
alborotar
alegrar
alejar
aligerar
alimentar
aliñar
aliviar
almacenar
alojar
alquilar
alterar
alumbrar
amar
anhelar
animar
anotar
anticipar
anular
anunciar
añadir
añorar
apartar
apelar
apestar
aplastar
aplaudir
aportar
apoyar
apreciar
aprender
aprovechar
apuntar
apurar
arañar
arder
armar
arrastrar
arreglar
arrestar
arrojar
asar
asegurar
asesinar
asistir
asociar
asomar
asombrar
aspirar
asumir
asustar
atar
atrapar
atrasar
atrever
aturdir
aumentar
avisar
ayudar
bailar
bajar
balancear
bañar
barajar
barrer
bastar
batir
beber
beneficiar
besar
bloquear
bombear
bordar
borrar
brillar
brindar
bromear
broncear
bucear
burlar
calcular
caldear
callar
calmar
cambiar
caminar
cancelar
candar
cansar
cantar
capitular
capturar
casar
causar
cautivar
cavar
ceder
celebrar
cenar
censurar
centrar
cepillar
cesar
charlar
chatear
chupar
cifrar
circular
citar
clarear
clavar
cobrar
cocinar
coincidir
colaborar
coleccionar
colorear
combatir
combinar
comentar
comer
comerciar
cometer
comparar
compartir
compensar
compilar
completar
comportar
comprar
comprender
comprimir
comprometer
conceder
concentrar
condenar
condicionar
conectar
configurar
confirmar
confundir
congelar
conjeturar
conquistar
conservar
considerar
consistir
consolidar
constatar
consultar
consumir
contactar
contaminar
contemplar
contestar
contratar
controlar
conversar
convidar
convivir
cooperar
coordinar
copiar
coquetear
coronar
correr
corresponder
corromper
cortar
cosechar
coser
crear
crujir
cuajar
cubrir
cuidar
culpar
cultivar
cumplir
curar
dañar
debatir
deber
decepcionar
decidir
declarar
declinar
decorar
definir
degustar
dejar
denigrar
depender
deplorar
depositar
deprimir
derribar
desaconsejar
desafinar
desarrollar
desatar
desayunar
descansar
descarrilar
desconectar
descongelar
descubrir
desear
desnudar
destinar
detectar
deteriorar
determinar
detestar
devorar
dibujar
dictar
diferenciar
difundir
dimitir
discriminar
disculpar
discutir
diseñar
disfrutar
disimular
disparar
disputar
dividir
divisar
divorciar
doblar
dominar
donar
dudar
durar
echar
editar
ejecutar
ejercitar
elaborar
elevar
eliminar
emancipar
embrollar
embrujar
emigrar
emitir
empeñar
emplear
emprender
empujar
enamorar
encajar
encantar
enchufar
encuestar
enfadar
enfermar
enganchar
engañar
engordar
engrasar
enhebrar
enojar
enredar
ensanchar
ensayar
enseñar
ensuciar
enterar
entrañar
entrar
entrenar
entrevistar
entusiasmar
envidiar
escalar
escapar
esconder
escribir
escuchar
escupir
esperar
espirar
estacionar
estallar
estimar
estimular
estirar
estornudar
estrenar
estresar
estropear
estudiar
evadir
evitar
evolucionar
exagerar
examinar
excavar
excitar
exclamar
excusar
exhalar
exhibir
existir
experimentar
expirar
explorar
explotar
exportar
expresar
exprimir
expulsar
extrañar
facilitar
facturar
fallar
faltar
fascinar
felicitar
festejar
figurar
fijar
filmar
filosofar
filtrar
financiar
firmar
flirtear
flotar
fomentar
formar
formular
fracasar
frenar
frotar
frustrar
fumar
funcionar
fundar
fundir
fusionar
ganar
gandulear
gastar
generar
gestionar
girar
golpear
grabar
gritar
guardar
gustar
habitar
hablar
hallar
humillar
hundir
ignorar
iluminar
ilustrar
imaginar
imitar
implementar
importar
impresionar
imprimir
improvisar
inaugurar
inclinar
incorporar
incrementar
informar
ingresar
inhalar
iniciar
inmigrar
insertar
insistir
inspeccionar
inspirar
instalar
insultar
integrar
intentar
intercambiar
interesar
interpretar
interrumpir
inundar
invadir
inventar
invitar
inyectar
juntar
jurar
laborar
ladrar
lamentar
lamer
lastimar
latir
lavar
legitimar
levantar
levar
liberar
limitar
limpiar
liquidar
listar
llamar
llenar
llevar
llorar
lloviznar
lograr
luchar
madurar
manchar
maquillar
maravillar
marchar
marear
matar
matricular
meditar
mejorar
mencionar
meter
mezclar
migrar
mirar
modular
mojar
molar
molestar
montar
motivar
mudar
murmurar
mutilar
nadar
narrar
narrar
necesitar
negociar
nombrar
notar
nublar
numerar
nutrir
observar
ocultar
ocupar
ocurrir
odiar
ofender
olvidar
omitir
operar
opinar
optar
ordenar
orinar
osar
oscilar
oxidar
parar
parpadear
participar
partir
pasar
pasear
pasmar
patear
patinar
pedalear
peinar
pelar
pelear
pender
penetrar
percibir
perder
perdonar
perfeccionar
perfumar
permitir
persistir
persuadir
pesar
pillar
pinchar
pintar
pisar
planchar
planear
plantar
plantear
polucionar
portar
posar
pregonar
preguntar
prender
preocupar
preparar
presentar
preservar
presionar
prestar
presumir
pretender
privar
proceder
procesar
proclamar
procurar
programar
progresar
prometer
pronunciar
proporcionar
protestar
proyectar
pulir
pulsar
quedar
quemar
quitar
radiar
reaccionar
readmitir
rebobinar
recelar
recibir
reciclar
reclamar
reconquistar
recopilar
recorrer
recuperar
redactar
refinar
reflejar
reflexionar
refrigerar
regalar
regatear
registrar
regresar
regular
reinar
relacionar
relajar
relatar
rellenar
remar
remitir
renunciar
reparar
repartir
repasar
reportar
representar
reprochar
resbalar
reservar
resistir
respetar
respirar
responder
restaurar
resultar
resumir
retirar
retrasar
revelar
revisar
robar
rodear
saborear
sabotear
saciar
sacudir
salar
saltar
saludar
salvar
sanar
seleccionar
señalar
separar
simular
sobrar
sobrevivir
socorrer
solicitar
solucionar
someter
soplar
soportar
sorprender
sospechar
subir
subrayar
suceder
sudar
sufrir
sujetar
sumar
superar
suplir
suprimir
surtir
suspender
suspirar
tapar
tararear
tardar
tartamudear
tejer
telefonear
temer
temperar
templar
terminar
tintar
tirar
titular
tolerar
tomar
tornear
toser
trabajar
traicionar
tramar
tramitar
transformar
transmitir
transportar
trasladar
tratar
tricotar
triunfar
tumbar
unir
untar
urdir
usar
vacilar
vendar
vender
venerar
viajar
vibrar
vigilar
vincular
violar
visitar
vislumbrar
vivir
voltear
vomitar
votar
