daba;decía;estaba;había;hacía;iba;podía;ponía;quería;sabía;salía;era;tenía;venía;veía
dabas;decías;estabas;habías;hacías;ibas;podías;ponía;querías;sabías;salías;eras;tenías;venías;veías
daba;decía;estaba;había;hacía;iba;podía;ponías;quería;sabía;salía;era;tenía;venía;veía
dábamos;decíamos;estábamos;habíamos;hacíamos;íbamos;podíamos;poníamos;queríamso;sabíamos;salíamos;éramos;teníamos;veníamos;veíamos
dabais;decíais;estabais;habíais;hacíais;ibais;podíais;poníais;queríais;sabíais;salíais;erais;teníais;veníais;veíais
daban;decían;estaban;habían;hacían;iban;podían;ponían;querían;sabían;salían;eran;tenían;venían;veían
