diera;dijera;estuviera;hubiera;hiciera;fuera;pudiera;pusiera;quisiera;supiera;saliera;fuera;tuviera;viniera;viera
dieras;dijeras;estuvieras;hubieras;hicieras;fueras;pudieras;pusieras;quisieras;supieras;salieras;fueras;tuvieras;vinieras;vieras
diera;dijera;estuviera;hubiera;hiciera;fuera;pudiera;pusiera;quisiera;supiera;saliera;fuera;tuviera;viniera;viera
diéramos;dijéramos;estuviéramos;hubiéramos;hiciéramos;fuéramos;pudiéramos;pusiéramos;quisiéramos;supiéramos;saliéramos;fuéramos;tuviéramos;viniéramos;viéramos
dierais;dijerais;estuvierais;hubierais;hicierais;fuerais;pudierais;pusierais;quisierais;supierais;salierais;fuerais;tuvierais;vinierais;vierais
dieran;dijeran;estuvieran;hubieran;hicieran;fueran;pudieran;pusieran;quisieran;supieran;salieran;fueran;tuvieran;vinieran;vieran
